,open,high,low,close,adjclose,volume,ticker,diff_adjclose,isUp_adjclose,%adjclose,%high,%low,sma_2_adjclose,sma_2_high,sma_2_low,sma_3_high,sma_3_low,ema_2_adjclose,volatility_10_adjclose
1997-03-21,123000.0,130500.0,120000.0,123000.0,123000.0,0,CTIC,False,0,,,,,,,,,,
1997-03-24,120000.0,126000.0,120000.0,123000.0,123000.0,0,CTIC,False,0,0.0,-0.03448275862068961,0.0,123000.0,128250.0,120000.0,,,123000.0,
1997-03-25,126000.0,126000.0,121500.0,124500.0,124500.0,0,CTIC,True,1,0.012195121951219523,0.0,0.012499999999999956,123750.0,126000.0,120750.0,127500.0,120500.0,123750.0,
1997-03-26,124500.0,124500.0,120000.0,120000.0,120000.0,0,CTIC,False,0,-0.03614457831325302,-0.011904761904761862,-0.012345679012345734,122250.0,125250.0,120750.0,125500.0,120500.0,122250.0,
1997-03-27,120000.0,121500.0,120000.0,120000.0,120000.0,0,CTIC,False,0,0.0,-0.02409638554216864,0.0,120000.0,123000.0,120000.0,124000.0,120500.0,120000.0,
1997-03-31,121500.0,121500.0,120000.0,120000.0,120000.0,0,CTIC,False,0,0.0,0.0,0.0,120000.0,121500.0,120000.0,122500.0,120000.0,120000.0,
1997-04-01,120000.0,121500.0,120000.0,120750.0,120750.0,0,CTIC,True,1,0.006250000000000089,0.0,0.0,120375.0,121500.0,120000.0,121500.0,120000.0,120375.0,
1997-04-02,120000.0,121500.0,120000.0,121500.0,121500.0,0,CTIC,True,1,0.006211180124223503,0.0,0.0,121125.0,121500.0,120000.0,121500.0,120000.0,121125.0,
1997-04-03,120000.0,121500.0,120000.0,120000.0,120000.0,0,CTIC,False,0,-0.012345679012345734,0.0,0.0,120750.0,121500.0,120000.0,121500.0,120000.0,120750.0,
1997-04-04,120000.0,121500.0,120000.0,120000.0,120000.0,0,CTIC,False,0,0.0,0.0,0.0,120000.0,121500.0,120000.0,121500.0,120000.0,120000.0,5250.000000000002
1997-04-07,120000.0,121500.0,120000.0,120000.0,120000.0,0,CTIC,False,0,0.0,0.0,0.0,120000.0,121500.0,120000.0,121500.0,120000.0,120000.0,5006.246098625198
1997-04-08,120000.0,121500.0,120000.0,120000.0,120000.0,0,CTIC,False,0,0.0,0.0,0.0,120000.0,121500.0,120000.0,121500.0,120000.0,120000.0,4534.589286804265
