,open,high,low,close,adjclose,volume,ticker
2018-01-02,4.349999904632568,4.480000019073486,4.349999904632568,4.480000019073486,4.407910346984863,8927900,KGC
2018-01-03,4.460000038146973,4.489999771118164,4.369999885559082,4.460000038146973,4.3882317543029785,12718000,KGC
2018-01-04,4.480000019073486,4.519999980926514,4.429999828338623,4.510000228881836,4.437427520751953,8780000,KGC
2018-01-05,4.460000038146973,4.510000228881836,4.409999847412109,4.449999809265137,4.378392696380615,6041100,KGC
2018-01-08,4.420000076293945,4.449999809265137,4.320000171661377,4.340000152587891,4.270163536071777,8440800,KGC
2018-01-09,4.309999942779541,4.309999942779541,4.139999866485596,4.150000095367432,4.083220958709717,12972900,KGC
2018-01-10,4.21999979019165,4.230000019073486,4.110000133514404,4.130000114440918,4.06354284286499,9026000,KGC
2018-01-11,4.139999866485596,4.199999809265137,4.059999942779541,4.159999847412109,4.093059062957764,11767300,KGC
2018-01-12,4.21999979019165,4.340000152587891,4.179999828338623,4.340000152587891,4.270163536071777,13440200,KGC
2018-01-16,4.5,4.550000190734863,4.369999885559082,4.460000038146973,4.3882317543029785,21382000,KGC
2018-01-17,4.429999828338623,4.489999771118164,4.340000152587891,4.369999885559082,4.299680233001709,27706600,KGC
2018-01-18,4.349999904632568,4.369999885559082,4.230000019073486,4.25,4.181611061096191,7842200,KGC
2018-01-19,4.25,4.28000020980835,4.190000057220459,4.199999809265137,4.132415771484375,5882600,KGC
2018-01-22,4.25,4.329999923706055,4.199999809265137,4.320000171661377,4.250484466552734,8218900,KGC
2018-01-23,4.269999980926514,4.550000190734863,4.239999771118164,4.539999961853027,4.466944694519043,12881900,KGC
2018-01-24,4.690000057220459,4.78000020980835,4.519999980926514,4.610000133514404,4.535818099975586,20684900,KGC
2018-01-25,4.650000095367432,4.650000095367432,4.420000076293945,4.460000038146973,4.3882317543029785,13565600,KGC
2018-01-26,4.480000019073486,4.550000190734863,4.460000038146973,4.5,4.42758846282959,6236200,KGC
