,open,high,low,close,adjclose,volume,ticker,ema_2_adjclose,ema_3_adjclose,ema_5_adjclose,ema_10_adjclose,ema_20_adjclose,ema_50_adjclose,ema_100_adjclose,ema_2_high,ema_3_high,ema_5_high,ema_10_high,ema_20_high,ema_50_high,ema_100_high,ema_2_low,ema_3_low,ema_5_low,ema_10_low,ema_20_low,ema_50_low,ema_100_low,diff_adjclose,isUp_adjclose,diff_ema_2_adjclose,isUp_ema_2_adjclose,diff_ema_3_adjclose,isUp_ema_3_adjclose,diff_ema_5_adjclose,isUp_ema_5_adjclose,diff_ema_10_adjclose,isUp_ema_10_adjclose,diff_ema_20_adjclose,isUp_ema_20_adjclose,diff_ema_50_adjclose,isUp_ema_50_adjclose,diff_ema_100_adjclose,isUp_ema_100_adjclose,diff_ema_2_high,isUp_ema_2_high,diff_ema_3_high,isUp_ema_3_high,diff_ema_5_high,isUp_ema_5_high,diff_ema_10_high,isUp_ema_10_high,diff_ema_20_high,isUp_ema_20_high,diff_ema_50_high,isUp_ema_50_high,diff_ema_100_high,isUp_ema_100_high,diff_ema_2_low,isUp_ema_2_low,diff_ema_3_low,isUp_ema_3_low,diff_ema_5_low,isUp_ema_5_low,diff_ema_10_low,isUp_ema_10_low,diff_ema_20_low,isUp_ema_20_low,diff_ema_50_low,isUp_ema_50_low,diff_ema_100_low,isUp_ema_100_low,pctChange_open,pctChange_adjclose,pctChange_low,pctChange_high,pctChange_ema_2_high,pctChange_ema_3_high,pctChange_ema_5_high,pctChange_ema_10_high,pctChange_ema_20_high,pctChange_ema_50_high,pctChange_ema_100_high,pctChange_ema_2_adjclose,pctChange_ema_3_adjclose,pctChange_ema_5_adjclose,pctChange_ema_10_adjclose,pctChange_ema_20_adjclose,pctChange_ema_50_adjclose,pctChange_ema_100_adjclose,pctChange_ema_2_low,pctChange_ema_3_low,pctChange_ema_5_low,pctChange_ema_10_low,pctChange_ema_20_low,pctChange_ema_50_low,pctChange_ema_100_low,volatility_2_adjclose,volatility_3_adjclose,volatility_5_adjclose,volatility_10_adjclose,volatility_20_adjclose,volatility_50_adjclose,volatility_100_adjclose,volatility_2_high,volatility_3_high,volatility_5_high,volatility_10_high,volatility_20_high,volatility_50_high,volatility_100_high,volatility_2_low,volatility_3_low,volatility_5_low,volatility_10_low,volatility_20_low,volatility_50_low,volatility_100_low,volatility_200_low,volatility_2_ema_2_low,volatility_3_ema_3_low,volatility_5_ema_5_low,volatility_10_ema_10_low,volatility_20_ema_20_low,volatility_50_ema_50_low,volatility_100_ema_100_low,rsi_14_ema_2_low,rsi_14_ema_3_low,rsi_14_ema_5_low,rsi_14_ema_10_low,rsi_14_ema_20_low,rsi_14_ema_50_low,rsi_14_ema_100_low,stoch_14_adjclose,stoch_25_adjclose,stoch_25_open,stoch_25_high,stoch_25_low,pctChange_high_9periods,pctChange_low_9periods,pctChange_high_18periods,pctChange_low_18periods,pctChange_high_48periods,pctChange_low_48periods,pctChange_high_98periods,pctChange_low_98periods,0.3pctChange-high_2periods_back,0.3pctChange-low_2periods_back,0.5pctChange-high_2periods_back,0.5pctChange-low_2periods_back,1pctChange-high_2periods_back,1pctChange-low_2periods_back,2pctChange-high_2periods_back,2pctChange-low_2periods_back,3pctChange-high_2periods_back,3pctChange-low_2periods_back,5pctChange-high_2periods_back,5pctChange-low_2periods_back,0.3pctChange-high_3periods_back,0.3pctChange-low_3periods_back,0.5pctChange-high_3periods_back,0.5pctChange-low_3periods_back,1pctChange-high_3periods_back,1pctChange-low_3periods_back,3pctChange-high_3periods_back,3pctChange-low_3periods_back,5pctChange-high_3periods_back,5pctChange-low_3periods_back,0.3pctChange-high_5periods_back,0.3pctChange-low_5periods_back,0.5pctChange-high_5periods_back,0.5pctChange-low_5periods_back,1pctChange-high_5periods_back,1pctChange-low_5periods_back,5pctChange-high_5periods_back,5pctChange-low_5periods_back,3pctChange-high_5periods_back,3pctChange-low_5periods_back
2018-01-02,2683.72998046875,2695.889892578125,2682.360107421875,2695.81005859375,2695.81005859375,3367250000,^GSPC,,,,,,,,,,,,,,,,,,,,,,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-03,2697.85009765625,2714.3701171875,2697.77001953125,2713.06005859375,2713.06005859375,3538660000,^GSPC,2704.43505859375,,,,,,,2705.1300048828125,,,,,,,2690.0650634765625,,,,,,,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0.005261377743014828,0.006398818768781567,0.005744908025860251,0.006854962682360188,,,,,,,,,,,,,,,,,,,,,,17.250000000000004,,,,,,,18.480224609375004,,,,,,,15.409912109375002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-04,2719.31005859375,2729.2900390625,2719.070068359375,2723.989990234375,2723.989990234375,3695260000,^GSPC,2718.5250244140625,2710.953369140625,,,,,,2721.830078125,2713.183349609375,,,,,,2708.4200439453125,2699.7333984375,,,,,,True,1,True,1,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,0.007954467505864482,0.004028636080503967,0.00789542795490994,0.005496642399843044,0.006173482683657916,,,,,,,0.005209947924443403,,,,,,,0.0068232477786349666,,,,,,,10.929931640625,24.6082755687902,,,,,,14.919921875,28.980101410681435,,,,,,21.300048828125004,31.927877343568795,,,,,,,18.354980468750004,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-05,2731.330078125,2743.449951171875,2727.919921875,2743.14990234375,2743.14990234375,3236620000,^GSPC,2733.5699462890625,2726.7333170572915,,,,,,2736.3699951171875,2729.0367024739585,,,,,,2723.4949951171875,2714.9200032552085,,,,,,True,1,True,1,True,1,False,0,False,0,False,0,False,0,False,0,True,1,True,1,False,0,False,0,False,0,False,0,False,0,True,1,True,1,False,0,False,0,False,0,False,0,False,0,0.00442024604486102,0.007033767443369587,0.0032547353665530743,0.005188130212148145,0.005341963522647042,0.005843082026456559,,,,,,0.0055342223227254905,0.0058208112674651424,,,,,,0.005565957616350925,0.005625223893032549,,,,,,19.159912109375,26.381473941073917,,,,,,14.159912109375002,25.186741792658886,,,,,,8.849853515625,26.84239742148781,,,,,,,15.074951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2018-01-08,2742.669921875,2748.510009765625,2737.60009765625,2747.7099609375,2747.7099609375,3242650000,^GSPC,2745.429931640625,2738.2832845052085,2724.743994140625,,,,,2745.97998046875,2740.4166666666665,2726.302001953125,,,,,2732.760009765625,2728.1966959635415,2712.94404296875,,,,,True,1,True,1,True,1,False,0,False,0,False,0,False,0,False,0,True,1,True,1,False,0,False,0,False,0,False,0,False,0,True,1,True,1,False,0,False,0,False,0,False,0,False,0,0.0041517661453003285,0.0016623439316436617,0.0035485556975574095,0.0018444143993181505,0.0035119466185897785,0.004169956447412915,,,,,,0.004338643453284607,0.004235825841737206,,,,,,0.003401884220477047,0.004890270318246737,,,,,,4.56005859375,21.80061210808674,47.964421523691854,,,,,5.060058593750001,17.255645130599884,48.26285333816538,,,,,9.680175781250002,16.052845482140615,50.43999243744294,,,,,,9.2650146484375,24.668429634014927,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2018-01-09,2751.14990234375,2759.139892578125,2747.860107421875,2751.2900390625,2751.2900390625,3453480000,^GSPC,2749.5,2747.38330078125,2735.839990234375,,,,,2753.824951171875,2750.3666178385415,2738.952001953125,,,,,2742.7301025390625,2737.7933756510415,2726.04404296875,,,,,True,1,True,1,True,1,True,1,False,0,False,0,False,0,False,0,True,1,True,1,True,1,False,0,False,0,False,0,False,0,True,1,True,1,True,1,False,0,False,0,False,0,False,0,0.0030918705897182708,0.0013029315960912946,0.0037478117327687244,0.003867507403913839,0.0028568928975898356,0.0036308169093051124,0.004639984855286716,,,,,0.0014824885211850436,0.0033232559711899867,0.004072307753539839,,,,,0.0036483601698682477,0.0035175908326912086,0.004828702616978653,,,,,3.580078125,7.066573411473157,36.95238175481433,,,,,10.6298828125,13.870343595441755,38.999368166925294,,,,,10.260009765625,17.271140714937875,42.73550504309641,,,,,,9.9700927734375,19.894195071104438,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1
2018-01-10,2745.550048828125,2750.800048828125,2736.06005859375,2748.22998046875,2748.22998046875,3576350000,^GSPC,2749.760009765625,2749.07666015625,2742.873974609375,,,,,2754.969970703125,2752.816650390625,2746.23798828125,,,,,2741.9600830078125,2740.5067545572915,2733.70205078125,,,,,False,0,True,1,True,1,True,1,False,0,False,0,False,0,False,0,True,1,True,1,True,1,False,0,False,0,False,0,False,0,False,0,True,1,True,1,False,0,False,0,False,0,False,0,-0.0020354592495502866,-0.0011122268282528491,-0.004294268400437673,-0.003022624468021151,0.0004157924165668625,0.000890802170224525,0.0026601365496472518,,,,,9.45661995361835e-05,0.0006163535224656957,0.0025710510848984125,,,,,-0.00028074929083876654,0.0009910824280539021,0.0028092017927046076,,,,,3.06005859375,3.3504729734163416,24.48429867794019,,,,,8.33984375,9.689986617371375,24.683996490365917,,,,,11.800048828125,11.110370674528099,24.20571891116861,,,,,,0.7700195312500001,11.2025940900924,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1
2018-01-11,2752.969970703125,2767.56005859375,2752.780029296875,2767.56005859375,2767.56005859375,3641320000,^GSPC,2757.89501953125,2755.693359375,2751.58798828125,,,,,2759.1800537109375,2759.1666666666665,2753.8919921875,,,,,2744.4200439453125,2745.5667317708335,2740.44404296875,,,,,True,1,True,1,True,1,True,1,False,0,False,0,False,0,False,0,True,1,True,1,True,1,False,0,False,0,False,0,False,0,True,1,True,1,True,1,False,0,False,0,False,0,False,0,0.0027025265404165832,0.007033646478779465,0.006110966259899486,0.0060927764534413065,0.0015281774584054997,0.0023067341862890167,0.00278708689447571,,,,,0.0029584435502494344,0.0024068805772676782,0.0031769646555181996,,,,,0.0008971541754909662,0.0018463655326255157,0.002466249818839472,,,,,19.330078125000004,17.996241475140494,20.997393012013074,,,,,16.760009765625004,14.514649786489443,21.2696546426632,,,,,16.719970703125,14.882946682622087,22.11717442883018,,,,,,2.4599609375,6.833405441482038,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
2018-01-12,2770.179931640625,2787.85009765625,2769.639892578125,2786.239990234375,2786.239990234375,3573970000,^GSPC,2776.9000244140625,2767.3433430989585,2760.206005859375,,,,,2777.705078125,2768.7367350260415,2762.772021484375,,,,,2761.2099609375,2752.82666015625,2748.788037109375,,,,,True,1,True,1,True,1,True,1,False,0,False,0,False,0,False,0,True,1,True,1,True,1,False,0,False,0,False,0,False,0,True,1,True,1,True,1,False,0,False,0,False,0,False,0,0.006251416150792499,0.006749602987881076,0.0061246678273658706,0.007331381662159853,0.0067139599639927106,0.0034684633135759757,0.003224537971012076,,,,,0.006891127018331167,0.004227605253801059,0.0031320159903402978,,,,,0.006117837912322788,0.00264423672584857,0.003044759903795047,,,,,18.679931640625004,32.919239122435314,37.264614932049916,,,,,20.2900390625,32.13479213148887,35.562632632133365,,,,,16.85986328125,29.081073403452063,30.38849202248848,,,,,,16.7899169921875,10.72590330764546,30.698146677729174,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1
2018-01-16,2798.9599609375,2807.5400390625,2768.639892578125,2776.419921875,2776.419921875,4325970000,^GSPC,2781.3299560546875,2776.739990234375,2765.947998046875,2745.34599609375,,,,2797.695068359375,2787.6500651041665,2774.57802734375,2750.4400146484377,,,,2769.139892578125,2763.6866048177085,2754.99599609375,2733.97001953125,,,,False,0,True,1,True,1,True,1,False,0,False,0,False,0,False,0,True,1,True,1,True,1,False,0,False,0,False,0,False,0,True,1,True,1,True,1,False,0,False,0,False,0,False,0,0.010389227417379354,-0.003524487622672101,-0.00036105776880224205,0.007062769057347484,0.0071965848324937465,0.006831032303960427,0.004273246495754002,,,,,0.0015952794849212193,0.0033955479932945565,0.002080276680548776,,,,,0.0028719046189202846,0.00394501579726847,0.0022584349540837323,,,,,9.820068359375,16.184417908035506,36.27686561868415,89.05492820439116,,,,19.68994140625,34.62497881602887,51.42497228528642,104.37912306319659,,,,1.0000000000000002,16.382769197579684,31.917878228894626,89.88432031256733,,,,,7.929931640625,15.795169474333118,25.82587764588269,,,,,,,,,,,,,,,,,3.482413895316472,1.1315617977063042,,,,,,,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1
